player,team,s1_wickets,s2_wickets,trend_s3,mean_reg_s3,ensemble_s3,weights,improving
A Bohara,Sudurpaschim Royals,8,19,30,14.3,23.7,60% trend + 40% mean regression,Yes
S Malla,Janakpur Bolts,7,17,27,12.9,21.4,60% trend + 40% mean regression,Yes
S Lamichhane,Biratnagar Kings,8,17,26,12.9,20.8,60% trend + 40% mean regression,Yes
Shahab Alam,Kathmandu Gorkhas,6,13,20,10.1,16.0,60% trend + 40% mean regression,Yes
Harmeet Singh,Sudurpaschim Royals,9,14,19,10.8,15.7,60% trend + 40% mean regression,Yes
Karan KC,Kathmandu Gorkhas,14,14,14,10.8,11.7,30% trend + 70% mean regression,No
Rashid Khan,Kathmandu Gorkhas,7,10,13,8.0,11.0,60% trend + 40% mean regression,Yes
RK Paudel,Lumbini Lions,8,10,12,8.0,10.4,60% trend + 40% mean regression,Yes
Pratis GC,Biratnagar Kings,11,11,11,8.7,9.4,30% trend + 70% mean regression,No
NK Yadav,Karnali Yaks,13,11,9,8.7,8.8,30% trend + 70% mean regression,No
DS Airee,Sudurpaschim Royals,11,10,9,8.0,8.3,30% trend + 70% mean regression,No
Sompal Kami,Karnali Yaks,11,9,7,7.3,7.2,30% trend + 70% mean regression,No
SC Kuggeleijn,Sudurpaschim Royals,19,11,3,8.7,7.0,30% trend + 70% mean regression,No
Bipin Khatri,Pokhara Avengers,9,8,7,6.6,6.7,30% trend + 70% mean regression,No
Abhishesh Gautam,Lumbini Lions,7,7,7,5.9,6.2,30% trend + 70% mean regression,No
Sohail Tanvir,Chitwan Rhinos,15,9,3,7.3,6.0,30% trend + 70% mean regression,No
K Bhurtel,Pokhara Avengers,5,5,5,4.5,4.6,30% trend + 70% mean regression,No
JDS Neesham,Janakpur Bolts,9,5,1,4.5,3.4,30% trend + 70% mean regression,No
Basir Ahamad,Biratnagar Kings,6,4,2,3.8,3.2,30% trend + 70% mean regression,No
S Dhakal,Pokhara Avengers,5,3,1,3.1,2.5,30% trend + 70% mean regression,No
SA Zaib,Sudurpaschim Royals,13,5,-3,4.5,2.2,30% trend + 70% mean regression,No
WG Bosisto,Karnali Yaks,11,4,-3,3.8,1.7,30% trend + 70% mean regression,No
MG Erasmus,Kathmandu Gorkhas,11,4,-3,3.8,1.7,30% trend + 70% mean regression,No
N Saud,Sudurpaschim Royals,7,2,-3,2.4,0.8,30% trend + 70% mean regression,No
R Dhakal,Chitwan Rhinos,16,4,-8,3.8,0.2,30% trend + 70% mean regression,No
BP Sharma,Karnali Yaks,13,3,-7,3.1,0.1,30% trend + 70% mean regression,No
LN Rajbanshi,Janakpur Bolts,17,4,-9,3.8,-0.1,30% trend + 70% mean regression,No
Kushal Malla,Chitwan Rhinos,10,1,-8,1.7,-1.2,30% trend + 70% mean regression,No
D Kandel,Kathmandu Gorkhas,7,0,-7,1.0,-1.4,30% trend + 70% mean regression,No
K Mahato,Janakpur Bolts,15,1,-13,1.7,-2.7,30% trend + 70% mean regression,No
