match_id,season,match_date,opponent,team_pre_elo,opp_pre_elo,expected_win_pct,actual_score,wins_above_expected
espn_1462596,S1,2024-11-30,Biratnagar Kings,1500.0,1500.0,50.0,1.0,0.5
espn_1462641,S1,2024-12-02,Karnali Yaks,1512.0,1500.0,51.7,1.0,0.4827374755676238
espn_1462646,S1,2024-12-05,Pokhara Avengers,1523.6,1488.4,55.0,1.0,0.4495564824550068
espn_1462652,S1,2024-12-08,Lumbini Lions,1534.4,1464.5,59.9,1.0,0.40079669545781405
espn_1462656,S1,2024-12-11,Sudurpaschim Royals,1544.0,1520.7,53.3,0.0,-0.5334512791994516
espn_1462659,S1,2024-12-12,Kathmandu Gorkhas,1531.2,1499.8,54.5,1.0,0.4548771794144193
espn_1462663,S1,2024-12-14,Chitwan Rhinos,1542.1,1495.4,56.7,0.0,-0.5668314655716264
espn_1462668,S1,2024-12-18,Sudurpaschim Royals,1528.5,1554.6,46.3,0.0,-0.4625691797276712
espn_1462669,S1,2024-12-19,Karnali Yaks,1517.4,1524.2,49.0,1.0,0.5098219752119642
espn_1462670,S1,2024-12-21,Sudurpaschim Royals,1529.6,1565.7,44.8,1.0,0.5516604845896047
espn_1510977,S2,2025-11-17,Kathmandu Gorkhas,1521.4,1506.1,52.2,0.0,-0.5221160392349663
espn_1510985,S2,2025-11-24,Biratnagar Kings,1508.9,1513.2,49.4,0.0,-0.49384499941225657
espn_1510990,S2,2025-11-27,Pokhara Avengers,1497.1,1457.3,55.7,0.0,-0.5569876192852103
espn_1510994,S2,2025-11-29,Sudurpaschim Royals,1483.7,1566.9,38.2,0.0,-0.38246981554132115
espn_1510996,S2,2025-12-02,Chitwan Rhinos,1474.5,1498.3,46.6,1.0,0.5342323256234313
espn_1511001,S2,2025-12-05,Lumbini Lions,1487.3,1481.7,50.8,0.0,-0.5081528241557242
espn_1511004,S2,2025-12-07,Karnali Yaks,1475.1,1460.2,52.1,0.0,-0.5214311364168223
