player_name,status,S1_strike_rate,S2_strike_rate,S1_average,S2_average,S2_matches
WD Parnell,departed,120.0,123.07692307692308,20.0,32.0,7
A Yadav,departed,50.0,120.0,6.0,20.0,0
J Tromp,departed,92.85714285714286,120.0,13.0,20.0,0
Aasif Sheikh,retained,103.18471337579618,110.5263157894737,16.2,15.0,7
SP Krishnamurthi,departed,120.0,122.79411764705883,20.0,27.833333333333332,7
LN Rajbanshi,retained,28.57142857142857,100.0,1.3333333333333333,15.0,7
H Thaker,departed,88.46153846153845,120.0,27.6,20.0,0
JN Loftie-Eaton,departed,120.0,111.34020618556701,20.0,21.6,7
AK Sah,retained,112.82051282051282,97.33333333333334,22.0,10.428571428571429,7
MMMS Cooray,departed,120.0,97.22222222222221,20.0,35.0,7
S Kansakar,retained,88.75,83.33333333333334,14.2,5.0,7
SMLD Samarakoon,departed,120.0,104.76190476190477,20.0,22.0,7
K Mahato,retained,28.57142857142857,50.0,6.0,3.0,7
Mohammad Mohsin,departed,102.4390243902439,120.0,8.4,20.0,0
A Tripathi,departed,61.29032258064516,120.0,6.333333333333333,20.0,0
BKEL Milantha,retained,121.07438016528927,88.23529411764706,32.55555555555556,15.0,7
Rupesh Singh,departed,120.0,76.92307692307693,20.0,10.0,7
Mayan Yadav,retained,76.19047619047619,89.36170212765957,16.0,21.0,7
JDS Neesham,departed,194.48818897637796,120.0,30.875,20.0,0
S Malla,departed,88.88888888888889,120.0,6.0,20.0,0
H Dhami,departed,81.81818181818183,120.0,9.0,20.0,0
A Mahata,departed,120.0,134.6153846153846,20.0,17.5,7
Maaz Sadaqat,departed,120.0,150.66666666666666,20.0,22.6,7
