season,bowler_name,overs_bowled,balls_bowled,runs_conceded,economy_rate,dot_ball_pct,boundary_pct,wickets,avg_balls_per_wicket
S1,S Malla,3.7,22,16,4.36,54.5,4.5,2,11.0
S1,Mohammad Mohsin,3.5,21,16,4.57,61.9,9.5,3,7.0
S1,BWM Mike,1.5,9,8,5.33,33.3,0.0,1,9.0
S1,LN Rajbanshi,6.0,36,38,6.33,41.7,8.3,4,9.0
S1,K Mahato,10.8,65,94,8.68,30.8,15.4,11,5.9
S1,H Thaker,4.0,24,37,9.25,41.7,20.8,4,6.0
S1,JDS Neesham,8.0,48,97,12.12,22.9,29.2,4,12.0
S1,A Yadav,1.0,6,14,14.0,16.7,33.3,0,
S2,MMMS Cooray,2.0,12,9,4.5,33.3,0.0,2,6.0
S2,A Mahata,1.0,6,5,5.0,16.7,0.0,0,
S2,WD Parnell,2.2,13,14,6.46,23.1,7.7,1,13.0
S2,Maaz Sadaqat,4.2,25,27,6.48,28.0,4.0,2,12.5
S2,SP Krishnamurthi,1.2,7,11,9.43,14.3,14.3,0,
S2,JN Loftie-Eaton,1.0,6,10,10.0,0.0,16.7,0,
S2,Rupesh Singh,5.2,31,52,10.06,29.0,16.1,5,6.2
S2,K Mahato,3.0,18,32,10.67,33.3,27.8,1,18.0
S2,AK Sah,2.0,12,27,13.5,25.0,33.3,2,6.0
S2,LN Rajbanshi,2.0,12,35,17.5,25.0,41.7,1,12.0
