player_name,status,s1_batting_balls,s1_batting_runs,s1_batting_avg,s1_bowling_balls,s1_bowling_runs,s1_bowling_economy,s1_bowling_wickets
H Thaker,Departed,156,138,88.5,188,198,6.32,12
Mohammad Mohsin,Departed,41,42,102.4,208,208,6.0,12
J Tromp,Departed,14,13,92.9,0,0,0.0,0
A Yadav,Departed,24,12,50.0,54,69,7.67,3
BWM Mike,Departed,0,0,0.0,22,31,8.45,1
BP Sharma,Departed,0,0,0.0,0,0,0.0,0
Babar Hayat,Departed,0,0,0.0,0,0,0.0,0
Hassan Eisakhil,Departed,0,0,0.0,0,0,0.0,0
MJJ Critchley,Departed,0,0,0.0,0,0,0.0,0
JA Kolsawala,Departed,0,0,0.0,0,0,0.0,0
CAK Walton,Departed,0,0,0.0,0,0,0.0,0
RA Reifer,Departed,0,0,0.0,0,0,0.0,0
M Levitt,Departed,0,0,0.0,0,0,0.0,0
RP Magar,Departed,0,0,0.0,0,0,0.0,0
SM Dhakal,Departed,0,0,0.0,0,0,0.0,0
MA Leask,Departed,0,0,0.0,0,0,0.0,0
R Dhakal,Departed,0,0,0.0,0,0,0.0,0
Aarif Sheikh,Departed,0,0,0.0,0,0,0.0,0
A Ghiraiya,Departed,0,0,0.0,0,0,0.0,0
NB Budayair,Departed,0,0,0.0,0,0,0.0,0
B Yadav,Departed,0,0,0.0,0,0,0.0,0
B Karki,Departed,0,0,0.0,0,0,0.0,0
Zeeshan Maqsood,Departed,0,0,0.0,0,0,0.0,0
A Kharel,Departed,0,0,0.0,0,0,0.0,0
CB Sole,Departed,0,0,0.0,0,0,0.0,0
AGS Gous,Departed,0,0,0.0,0,0,0.0,0
S Karki,Departed,0,0,0.0,0,0,0.0,0
D Gupta,Departed,0,0,0.0,0,0,0.0,0
Basil Hameed,Departed,0,0,0.0,0,0,0.0,0
RR Simmonds,Departed,0,0,0.0,0,0,0.0,0
NR Kirton,Departed,0,0,0.0,0,0,0.0,0
D Khanal,Departed,0,0,0.0,0,0,0.0,0
D Kandel,Departed,0,0,0.0,0,0,0.0,0
P Shrestha,Departed,0,0,0.0,0,0,0.0,0
BJ McMullen,Departed,0,0,0.0,0,0,0.0,0
TJ Moores,Departed,0,0,0.0,0,0,0.0,0
UBS Thakuri,Departed,0,0,0.0,0,0,0.0,0
S Dhawan,Departed,0,0,0.0,0,0,0.0,0
SS Eskinazi,Departed,0,0,0.0,0,0,0.0,0
Saad Bin Zafar,Departed,0,0,0.0,0,0,0.0,0
JK Mukhiya,Departed,0,0,0.0,0,0,0.0,0
BCJ Cutting,Departed,0,0,0.0,0,0,0.0,0
N Saud,Departed,0,0,0.0,0,0,0.0,0
B Rawal,Departed,0,0,0.0,0,0,0.0,0
Aqib Ilyas,Departed,0,0,0.0,0,0,0.0,0
